AnimalID,ADDMI_keep,ADG_keep,FCR,Gender,Management_Group,heterosis,mathet,perANS,perHHS,perARS,perSHS,perDSS,perBMS,perBRS,perBNS,perSGS,perBVS,perCHS,perCAS,perGVS,perLMS,perMAS,perSAS,perSMS,perTAS,perBVSo,perCHSo,perLMSo,perHH,perAN,perSM,perCH,perM2,perM3,perRS,perBV,perBR,perXB,perRO
20171258,10.08923077,1.42078562,7.101163349,Steer,201701_MI_MD01,0.5,1,0,0.75,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0.0625,0,0,0,0,0,0,0.0625,0.0625,0,0,0,0,0,0,0
20171259,12.12,1.460546488,8.298263765,Steer,201701_MI_ME01,0.46875,0.9375,0.75,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
20171267,9.583076923,1.14399291,8.376867408,Steer,201701_MI_ME01,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.5,0,0,0,0,0.125,0,0.25,0,0,0,0,0,0,0,0
20171269,10.48923077,1.295916457,8.094064019,Steer,201701_HI_MD01,0.5625,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21875,0.71875,0,0,0,0,0,0,0,0.03125,0,0,0.03125,0,0,0,0,0,0,0
20171301,8.936923077,0.853039763,10.47656096,Steer,201701_HI_ME01,0.625,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.125,0,0,0,0,0,0.0625,0.1875,0,0,0,0,0,0,0
20171308,9.243076923,1.315347167,7.027100641,Steer,201701_HI_ME01,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0
20171340,9.901538462,1.16059904,8.531403286,Steer,201701_HI_ME01,0.125,0.25,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0625,0,0,0,0,0,0,0,0,0
20171351,9.518461538,1.165011561,8.170272171,Steer,201701_MI_MD01,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0
20171365,10.62923077,1.426356129,7.452017455,Steer,201701_MI_ME01,0.3125,0.625,0,0.0078125,0.0078125,0,0,0,0,0,0,0,0.84375,0,0,0,0,0,0,0,0,0,0,0.125,0.015625,0,0,0,0,0,0,0,0,0
20171366,10.55538462,1.455712881,7.251007224,Steer,201701_HI_MD01,0.21875,0.4375,0.875,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
